NorthStar,Business Unit,Service Line,Business Process 1,Business Process 2,Business Process 3,Business KPI 1,Business KPI 2,Business KPI 3,ITKPI 1,ITKPI 2,ITKPI 3
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Customer Order Cycle Time,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Customer Order Cycle Time,,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Customer order fill rate,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Customer order fill rate,Invoice Error Rate,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Integrated Material & Service Planning,Asset health index,Customer order fill rate,Invoice Error Rate,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Procurement Cycle Time,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Customer Order Cycle Time,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Customer Order Cycle Time,,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Customer order fill rate,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Customer order fill rate,Invoice Error Rate,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Inventory and Fulfillment Management,Asset health index,Customer order fill rate,Invoice Error Rate,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Procurement Cycle Time,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Customer Order Cycle Time,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Customer Order Cycle Time,,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Customer order fill rate,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Customer order fill rate,Invoice Error Rate,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Capability Management,Asset health index,Customer order fill rate,Invoice Error Rate,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Procurement Cycle Time,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Customer Order Cycle Time,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Customer Order Cycle Time,,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Customer order fill rate,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Customer order fill rate,Invoice Error Rate,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Transactional Procurement Management,Asset health index,Customer order fill rate,Invoice Error Rate,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Procurement Cycle Time,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Customer Order Cycle Time,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Customer Order Cycle Time,,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Customer order fill rate,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Customer order fill rate,Invoice Error Rate,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Strategic Procurement Management,Asset health index,Customer order fill rate,Invoice Error Rate,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Procurement Cycle Time,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Obsolescence as % of Gross Inventory,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Percentage of maintenance work orders requiring rework,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Total Inventory Days,Number of Supplier Invoices per Purchase Order,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Customer Order Cycle Time,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Customer Order Cycle Time,,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Customer order fill rate,,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Customer order fill rate,Invoice Error Rate,,,
Improves Revenue Losses,,,Core Operations,Supply Chain,Supply Chain Performance Management ,Asset health index,Customer order fill rate,Invoice Error Rate,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,,,,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,,,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Procurement Cycle Time,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Planned Vs Unplanned opex spend,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,Fixed Asset Turnover,Planned Vs Unplanned opex spend,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,% of escalated compliance issues,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,% of escalated compliance issues,Capex Efficiency as % of Capex plan,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,% of escalated compliance issues,Capex Efficiency as % of Capex plan,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,% of escalated compliance issues,Planned Vs Unplanned opex spend,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Days of Supply,% of escalated compliance issues,Planned Vs Unplanned opex spend,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Procurement Cycle Time,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Planned Vs Unplanned opex spend,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Long Term Generation Asset Planning,Average Cost Per Megawatt,Fixed Asset Turnover,Planned Vs Unplanned opex spend,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Procurement Cycle Time,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Procurement Cycle Time,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Procurement Cycle Time,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Demand Forecasting Accuracy,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Demand Forecasting Accuracy,% of issues due to user access/password related ,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Demand Forecasting Accuracy,Downtime in Proportion to Operating Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Planned Vs Unplanned opex spend,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,Fixed Asset Turnover,Planned Vs Unplanned opex spend,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,% of escalated compliance issues,,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,% of escalated compliance issues,Capex Efficiency as % of Capex plan,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,% of escalated compliance issues,Capex Efficiency as % of Capex plan,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,% of escalated compliance issues,Planned Vs Unplanned opex spend,,,
Improves Revenue Losses,,,Manage Generation Infrastructure,Manage Generation Asset Investment,Capital & O&M Budgeting,Average Days of Supply,% of escalated compliance issues,Planned Vs Unplanned opex spend,Budget Cycle Time,,
Improves Revenue Losses,,,Manage Regulatory Affairs ,,,,,,,,
Improves Revenue Losses,,,Manage Regulatory Affairs ,Manage the corporation,,,,,,,
Improves Revenue Losses,,,Manage Regulatory Affairs ,Manage the corporation,Strategy,,,,,,
Improves Revenue Losses,,,Manage Regulatory Affairs ,Manage the corporation,Strategy,Number of Budget Iterations,,,,,
Improves Revenue Losses,,,Manage Regulatory Affairs ,Manage the corporation,Strategy,Number of Budget Iterations,Opex Efficiency as % of Asset opex plan ,,,,
Improves Revenue Losses,,,Manage Regulatory Affairs ,Manage the corporation,Strategy,Number of Budget Iterations,Opex Efficiency as % of Asset opex plan ,,Spend Variance against Budget,,
Improves Revenue Losses,,,Wholesale market Integration,,,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Manage Financial Market Positions,,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Manage Financial Market Positions,Develop and execute power supply strategy,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Manage Financial Market Positions,Develop and execute power supply strategy,Plan vs. Actual trading gross margin by portfolio,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Manage Financial Market Positions,Develop and execute power supply strategy,Plan vs. Actual trading gross margin by portfolio,"Realized Margin, Gross and Net, Power",,,,
Improves Revenue Losses,,,Wholesale market Integration,Manage Financial Market Positions,Develop and execute power supply strategy,Plan vs. Actual trading gross margin by portfolio,"Realized Margin, Gross and Net, Power",,Server Downtime,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Actual vs Shadow Settlement Process,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Actual vs Shadow Settlement Process,Number of contracts managed and settled,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Actual vs Shadow Settlement Process,Number of contracts managed and settled,% number of invoices disputed,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Actual vs Shadow Settlement Process,Number of contracts managed and settled,% number of invoices disputed,,Application Order Fulfilment Time,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Actual vs Shadow Settlement Process,Number of contracts managed and settled,% value of invoices disputed,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Actual vs Shadow Settlement Process,Number of contracts managed and settled,% value of invoices disputed,,Application Order Fulfilment Time,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Financial impact of erroneous trade entry,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Financial impact of erroneous trade entry,Number of contracts managed and settled,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Financial impact of erroneous trade entry,Number of contracts managed and settled,% number of invoices disputed,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Financial impact of erroneous trade entry,Number of contracts managed and settled,% number of invoices disputed,,Application Order Fulfilment Time,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Financial impact of erroneous trade entry,Number of contracts managed and settled,% value of invoices disputed,,,,
Improves Revenue Losses,,,Wholesale market Integration,Perform Contract Settlements,Financial impact of erroneous trade entry,Number of contracts managed and settled,% value of invoices disputed,,Application Order Fulfilment Time,,
Improves Revenue Losses,,,Wholesale market Integration,Execute Origination Transaction,,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Execute Origination Transaction,Perform customer segmentation,,,,,,
Improves Revenue Losses,,,Wholesale market Integration,Execute Origination Transaction,Perform customer segmentation,Value @ Risk (VaR),,,,,
Improves Revenue Losses,,,Wholesale market Integration,Execute Origination Transaction,Perform customer segmentation,Value @ Risk (VaR),"Deal Closure Rate, Gas",,,,
